Paso;x (cm)
71;-7.0
73;-6.0
74;-4.0
75;-3.8
76;-3.5
77;-3.8
78;-3.5
79;-2.5
80;-3.5
85;-7.0
90;0.0
93;2.3
112;7.2
121;5.6
122;6.2
